PLOTTITLE[average salary for woman], XLEAST[2000], SLOPEY[10], YUNIT[%]	The average salary for woman has grown since 2000 by at least 10 %
PLOTTITLE[what young people do in the evenings], YLABEL[percentage], YHIGHEST[40], YUNIT[%], XHIGHEST[watch tv], YSECOND[30], YUNIT[%], XSECOND[go out], YTHIRD[20], YUNIT[%], XTHIRD[spend time with family], YLABEL[group], YLEAST[10], YUNIT[%], XLEAST[read a book]	The chart shows what young people do in the evenings . The largest percentage 40 % watch tv , followed by 30 % that go out , then 20 % spend time with family and the smallest group at 10 % read a book .
PLOTTITLE[percentage of the Lybian Parliament consisting on minority group members], XSTART[from], XLEAST[1990], XEND[to], XHIGHEST[2019], INTERVAL[5], YLABEL[year], XLEAST[Between 1990-1994], YLEASTAPPROX[.4], YUNIT[%], T1AY[parliament represented minorities], YFIFTHAPPROX[2], YUNIT[%], XFIFTH[between 1995-1999], YLABEL[percentage], YFOURTH[7.5], YUNIT[%], YTHIRD[10], YUNIT[%], XTHIRD[2009], XSECOND[Between 2010-2014], YLABEL[figure], YSECONDAPPROX[12], YUNIT[%], YHIGHEST[14], YUNIT[%], XHIGHEST[during 2015-2019]	The graph shows the percentage of the Lybian Parliament consisting on minority group members , from 1990 to 2019 , displayed in 5 year increments . Between 1990-1994 only .4 % of parliament represented minorities , increasing to roughly 2 % between 1995-1999 . The percentage rose again roughly 7.5 % , then to 10 % by the end of 2009 . Between 2010-2014 the figure surpassed 12 % , reaching 14 % during 2015-2019 .
PLOTTITLE[percentage of students studying various courses at Lagos State University], XHIGHEST[Medicine], XLABEL[course], YHIGHEST[31], YUNIT[%], T0AY[cohort], XSECOND[Philosophy], YSECOND[30], YUNIT[%], XLEAST[STEM], XLABEL[subjects], MULLEASTSECOND[half], XSECOND[Philosophy], YLEAST[15], YUNIT[%], XTHIRD[literature], YTHIRD[24], YUNIT[%]	The chart shows the percentage of students studying various courses at Lagos State University . Medicine is the most popular course with 31 % of the cohort opting for this and Philosophy is from behind with 30 % . STEM subjects are half as popular as Philosophy with 15 % opting for this and literature is 24 % .
PLOTTITLE[number of fatal injuries at Pula Steel factory], XSTART[between], XSECOND[2012], XEND[and], XFOURTH[2016], YSECOND[27], XSECOND[2012], YFOURTH[25], XFOURTH[2016], YHIGHEST[32], YUNIT[injuries], GRHIGHESTSECOND[between 2012 and 2013], YLEAST[22], XLEAST[2015], XFOURTH[2016]	The number of fatal injuries at Pula Steel factory between 2012 and 2016 is demonstrated here . It shows there to be little change over time , with 27 in 2012 and 25 in 2016 . There was however an increase to 32 injuries between 2012 and 2013 and a steady decrease to 22 in 2015 . This decrease started to reverse in 2016 .
PLOTTITLE[Gender pay gap in 2017], XLABEL[countries], BARNAMES[Germany, Spain and the UK], XHIGHEST[Germany], YLABEL[percentage in the gender pay gap], YHIGHEST[21], YUNIT[%], XSECOND[UK], YSECONDAPPROX[20.1], YUNIT[%], XLEAST[Spain], YLABEL[percentage in the gender pay gap], T1AB[2017], YLEASTAPPROX[15], YUNIT[%]	This chart shows the Gender pay gap in 2017 in the countries Germany, Spain and the UK . It shows that Germany had the biggest percentage in the gender pay gap at 21 % , closely followed by the UK at 20.1 % . And Spain had the least percentage in the gender pay gap in 2017 at 15 % .
YLABEL[fatal injuries], COUNT[5], XLABEL[year period], YLABEL[fatalities], GRHIGHESTTHIRDLEAST[between 2013 and 2015], XFOURTH[2016], YLABEL[fatalities], XHIGHEST[2013]	This shows the fluctuation of fatal injuries over a 5 year period . It indicates a downward trend in fatalities between 2013 and 2015 although this came to an end in 2016 . The most fatalities were recorded in 2013 .
XHIGHEST[Law firms], YHIGHEST[60], YUNIT[%], T1AY[women], XSECOND[financial groups], YSECOND[40], YUNIT[%], T1AY[women], XTHIRD[Insurance], XLEAST[Tech], T1AY[represented], YTHIRD[25], YUNIT[%], YLEAST[20], YUNIT[%], T1AY[women]	Law firms are made up of 60 % women and financial groups are made up of 40 % women . Insurance and Tech are only represented by 25 % and 20 % of women respectively .
PLOTTITLE[American Inc closing stock prices for the week], XTHIRD[Monday], YLABEL[closing stock price], YUNIT[£], YTHIRDAPPROX[51], XSECOND[Tuesday], YUNIT[£], YSECONDAPPROX[61], XHIGHEST[Wednesday], YUNIT[£], YHIGHESTAPPROX[72], XFOURTH[Thursday], YUNIT[£], YFOURTHAPPROX[21], XLEAST[Friday], YLABEL[stock price], YUNIT[£], YLEASTAPPROX[9.80]	The chart shows American Inc closing stock prices for the week . \\n \\n On Monday the closing stock price was £ 51 . On Tuesday it increased up to £ 61 . By Wednesday it continued to increase to £ 72 but then on Thursday it dropped dramatically to £ 21 and by Friday the stock price dropped to only £ 9.80 .
YLABEL[closing stock price], T1AB[Akef Inc], YUNIT[£], YHIGHESTAPPROX[92], XHIGHEST[Monday], YLABEL[closing price], YLABEL[stock price], YLABEL[closing price], XLEAST[Friday], YUNIT[£], YLEASTAPPROX[30]	The closing stock price for Akef Inc was £ 92 on Monday showing the highest closing price all week . The deterioration of the stock price occurred throughout the week with the closing price on Friday at just £ 30 .
PLOTTITLE[average median salary per year for software engineers with respect to their degree type], XLEAST[no degree], XHIGHEST[PhD], YUNIT[$], ADDHIGHESTLEAST[30], YMAG[,000], T0AY[average]	This charts shows the average median salary per year for software engineers with respect to their degree type . Not surprisingly , those with no degree earn the least ; and those with a PhD earn the most . There is a difference of about $ 30 ,000 between these average earnings .
YLABEL[women representation], XHIGHEST[Law Firms], XSECOND[Financial Groups], XLABEL[sector], YLABEL[amount of women representation], XLEAST[Tech], XTHIRD[Insurance]	The chart shows that women representation is highest in Law Firms , followed by Financial Groups . The sector with the lowest amount of women representation is Tech , followed by Insurance .
PLOTTITLE[Obesity causes], XHIGHEST[genetic], XLABEL[cause], YHIGHESTAPPROX[40], YUNIT[%], XSECOND[lack of exercise], XLEAST[fast food], YSECOND[35], YUNIT[%], XLABEL[cause of obesity], XSECOND[lack of exercise], XHIGHEST[genes], XLABEL[role], XLEAST[Fast food], YLEASTAPPROX[25], YUNIT[%], ADDLEASTSECOND[10], YUNIT[%], XSECOND[lack of exercise], XHIGHEST[genetics], XLABEL[cause], COUNT[three], XLABEL[cause of obesity]	Obesity causes genetic is the highest cause at over 40 % only slightly behind lack of exercise and fast food . \\n 35 % cause of obesity is lack of exercise but genes still play a major role . \\n Fast food is at only 25 % but only 10 % less than lack of exercise . \\n Although genetics are the highest cause , all three come into play when determining a cause of obesity .
PLOTTITLE[representation of women in university departments in Narvik], XSECOND[Computer science], XHIGHEST[engineering], YLABEL[representation], YSECOND[60], YHIGHEST[70], YUNIT[%], YLABEL[representation], XLEAST[literature], YLEASTAPPROX[20], YUNIT[%]	The representation of women in university departments in Narvik is as shown by this graph . Computer science and engineering have the largest representation at 60 and 70 % respectively . The lowest representation is in literature at just over 20 % .
PLOTTITLE[what students at Lagos State University choose to study], XHIGHEST[medicine], YHIGHEST[31], YUNIT[%], XSECOND[philosophy], YSECOND[30], YUNIT[%], YTHIRD[24], YUNIT[%], T1AX[choose], XTHIRD[literature], ADDSECONDLEAST[15], YUNIT[%], T1AX[choose], XLEAST[STEM]	This chart shows what students at Lagos State University choose to study . The most popular is medicine at 31 % closely followed by philosophy at 30 % . 24 % choose literature and 15 % choose STEM .
PLOTTITLE[amount of money spent on higher education], XLABEL[continents around the world], XHIGHEST[Africa], YLABEL[amount], T1AY[higher education], YUNIT[£], YHIGHESTAPPROX[290], YMAG[million], XLEAST[North America], YUNIT[£], YLEASTAPPROX[149], YMAG[million], XSECOND[Europe], YUNIT[£], YSECONDAPPROX[270], YMAG[million], XTHIRD[Asia], YUNIT[£], YTHIRDAPPROX[170], YMAG[million], T1AY[higher education]	The graph shows the amount of money spent on higher education in various continents around the world . In Africa the amount spent on higher education is £ 290 million . In North America they spent £ 149 million . In Europe they spent £ 270 million and in Asia they spent £ 170 million on higher education
PLOTTITLE[number of fatal injuries in the pula steel factory], YLABEL[number of fatalities], YHIGHESTAPPROX[2012], YHIGHEST[30], YLEASTAPPROX[13], XLEAST[2016]	The graph shows the number of fatal injuries in the pula steel factory . The number of fatalities in 2012 was 30 . This has decrease significantly to 13 in 2016 .
YLABEL[percentage], PLOTTITLE[female representation in different work sectors in Benoni], XHIGHEST[Insurance], YHIGHESTAPPROX[64], YUNIT[%], XSECOND[tech], YSECONDAPPROX[61], YUNIT[%], XTHIRD[financial groips], YTHIRD[50], YUNIT[%], XLEAST[Law firms], YLEAST[35], YUNIT[%]	This graph shows the percentage of female representation in different work sectors in Benoni . Insurance is the highest at 64 % , tech next at 61 % , then financial groips at 50 % . Law firms are the lowest at 35 % .
XHIGHEST[Asia], YLABEL[money], T1AY[higher education], T1AB[2010], YUNIT[$], YHIGHESTAPPROX[300], YMAG[million], XSECOND[North America], XTHIRD[Europe], YUNIT[$], YLEAST[50], YMAG[million]	This graph shows that Asia spent the most money on higher education in 2010 at over $ 300 million , followed by North America and then Europe . Africa spent the least at $ 50 million
PLOTTITLE[average time spent on social media in Maputo , per age group], YLABEL[time], XHIGHEST[15-24 year olds], YHIGHESTAPPROX[180], YUNIT[minutes], XSECOND[25-34 year olds], YSECONDAPPROX[160], YUNIT[minutes], YLABEL[time], XTHIRD[35-44 year olds], YTHIRDAPPROX[125], YUNIT[minutes], XFOURTH[45-54 year olds], T1AY[average], YFOURTHAPPROX[98], YUNIT[minutes], T1AY[social media], YLABEL[time], XLEAST[55-64 year olds], YLEASTAPPROX[75], YUNIT[minutes]	This chart shows the average time spent on social media in Maputo , per age group . \\n \\n The highest time is spent by 15-24 year olds , at 180 minutes . 25-34 year olds are lower at 160 minutes . The time decreases again for 35-44 year olds at 125 minutes and is lower for 45-54 year olds , who spend on average around 98 minutes on social media . The lowest time is spent by 55-64 year olds , at around 75 minutes .
YLABEL[number of fatal injuries at the Pula Steel factory], XHIGHEST[2012], YLEAST[12], XLABEL[year], XLEAST[2016], YLABEL[numbers], XLABEL[years], XHIGHEST[2012], YHIGHEST[30], YUNIT[people], XSECOND[2013], YSECOND[25], XTHIRD[2014], YTHIRD[16], XFOURTH[2015], YFOURTH[15]	The number of fatal injuries at the Pula Steel factory has decreased since 2012 , arriving to 12 for the year 2016 . The statistics show the following numbers in the following years 2012 , 30 people . In 2013 25 , 2014 16 , 2015 was 15 .
PLOTTITLE[Women Representation in different sectors in Benoni], YLABEL[women representation], XHIGHEST[Insurance], XSECOND[Tech], XTHIRD[Financial], XLEAST[Law firms]	Here is a chart about Women Representation in different sectors in Benoni . The highest with women representation is Insurance , followed by Tech . Financial is the third highest and Law firms at the lowest .
PLOTTITLE[Average time (in minutes) spent on social media daily in Maputo], XLABEL[age groups], YLABEL[time], T1AY[social media], XLABEL[groups aged], GRFOURTHLEAST[between 25-34 and 35-44], XLABEL[users aged], XHIGHEST[45-54], YLABEL[time], T1AY[social media], YHIGHEST[150], YUNIT[minutes], T1AY[a day]	Average time (in minutes) spent on social media daily in Maputo . \\n \\n The age groups that spend the least time on social media are the groups aged between 25-34 and 35-44 , while users aged 45-54 spend the most time on social media at 150 minutes a day .
PLOTTITLE[closing stock price for Akef Inc, for each day of the working week], GRHIGHESTSECONDTHIRD[from Monday to Wednesday], GRFOURTHLEAST[Thursday and Friday]	This chart shows the closing stock price for Akef Inc, for each day of the working week . There is an increase from Monday to Wednesday , before a sharp decline on Thursday and Friday .
T1AY[young people], T1AX[evenings], XHIGHEST[watching tv]	Most young people spend their evenings watching tv
YHIGHEST[50], YUNIT[%], T1AY[students], T1AY[study], XHIGHEST[STEM], XLABEL[subjects]	50 % of students have chosen to study STEM subjects
PLOTTITLE[women ’s representation in different university departments in Narvic], XHIGHEST[Engineering], YHIGHEST[70], YUNIT[%], XSECOND[Computing], YSECOND[60], YUNIT[%], YLABEL[women’s representation], GRFOURTHLEAST[arts], XLEAST[Literature], XLABEL[department], YLEASTAPPROX[22], YUNIT[%], XFOURTH[Arts], XFOURTH[32], YUNIT[%], YLABEL[representation of women], XTHIRD[Maths], XLABEL[department], YTHIRDAPPROX[54], YUNIT[%]	The chart shows women ’s representation in different university departments in Narvic . Engineering at 70 % and Computing at 60 % are the highest . We see women’s representation the lowest in the arts with the Literature department standing at 22 % and the Arts at 32 % . The representation of women in the Maths department is 54 % .
T1AY[median], YLABEL[salary], T1AB[women], XLABEL[year], XLEAST[2000], XLABEL[year], XHIGHEST[2015]	This graph illustrates that the median salary for women has been increasing at a constant rate from the year 2000 up to the year 2015 .
PLOTTITLE[what subjects students choose to study], YLABEL[percentage], XHIGHEST[STEM], YLABEL[percentage], BARSREST[literature, philosophy or medicine]	This chart show what subjects students choose to study . We can see that a high percentage choose STEM whilst a much lower percentage choose literature, philosophy or medicine .
PLOTTITLE[median salary of women in Najaf], COUNT[four different], XLABEL[years], BARNAMES[2000, 2005, 2010 and 2015], YLABEL[Salaries], YUNIT[£], YSECONDAPPROX[23], YMAG[000], XSECOND[2000], YUNIT[£], YHIGHESTAPPROX[25], YMAG[000], XHIGHEST[2005], XEND[to], YUNIT[£], YTHIRDAPPROX[20], YMAG[000], XTHIRD[2010], XLEAST[2015], XEND[to], YUNIT[£], YLEAST[16], YMAG[000]	This graph shows the median salary of women in Najaf over four different years , 2000, 2005, 2010 and 2015 . Salaries increased from £ 23 000 in 2000 to £ 25 000 in 2005 but have fallen since to just under £ 20 000 in 2010 falling further in 2015 to £ 16 000 .
YLABEL[Minority representation], T1AB[parliament of Lybia], XTHIRD[2000], ADDHIGHESTTHIRD[5], YUNIT[%], YLABEL[representation], XLABEL[years], XHIGHEST[1990-1994], YHIGHESTAPPROX[12.8], YUNIT[%], ADDSECONDHIGHEST[0.8], YUNIT[%], XLABEL[years], XSECOND[1995-1999], XLABEL[years], XTHIRD[2000-2004], YLABEL[Minority representation], YTHIRDAPPROX[8.4], YUNIT[%], YLABEL[percentage], BARSREST[following], XFOURTH[2005-2009], YLABEL[percentage], YFOURTHAPPROX[8], YUNIT[%], YLEASTAPPROX[6.2], YUNIT[%], XLEAST[2010-2014], XFIFTH[2015-2019], XLABEL[years], ADDFIFTHLEAST[0.2], YUNIT[%]	The Minority representation in the parliament of Lybia has reduced a lot by the 2000 by more of 5 % . It had a good representation in the years 1990-1994 of 12.8 % , although this was reduced by 0.8 % in the years 1995-1999 , it was still a good number . \\n In the years 2000-2004 a big jump can be seem where there Minority representation was only 8.4 % , percentage being reduced in the following years . In 2005-2009 the percentage was 8 % , going further down to 6.2 % for 2010-2014 . Since then we can see a little increase for the 2015-2019 years of 0.2 % , which could be very slow increase in the years to come .
YLABEL[Money spent on higher education], XLABEL[continents], T1AB[year 2010], YLABEL[amount], XHIGHEST[Asia], YUNIT[$], YHIGHESTAPPROX[300], YMAG[,000,000], YLABEL[amount], XSECOND[North America], YSECOND[200], YMAG[,000,000], XTHIRD[Europe], YLABEL[amount], YUNIT[$], YTHIRD[100], YMAG[,000,000], XLEAST[Africa], YUNIT[$], YLEAST[50], YMAG[,000,000]	Money spent on higher education across several continents in the year 2010 . The highest amount spent was from Asia at a cost of just over $ 300 ,000,000 . The amount spent in North America was 200 ,000,000 . In Europe , the amount was $ 100 ,000,000 and finally Africa came in at $ 50 ,000,000 .
